2022-05-19 23:14:15.649  INFO [PensionerDetailService,,] 18548 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 15.0.2 on LTIN300273 with PID 18548 (C:\Users\893891\saibackend\PensionManagementSystem-master (1)\PensionManagementSystem-master\pensioner-detail-microservice\target\classes started by 893891 in C:\Users\893891\saibackend\PensionManagementSystem-master (1)\PensionManagementSystem-master\pensioner-detail-microservice)
2022-05-19 23:41:55.750  INFO [PensionerDetailService,14605ab2142feedf,6d27dcf070ae72d8] 18548 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 23:41:55.751  INFO [PensionerDetailService,14605ab2142feedf,6d27dcf070ae72d8] 18548 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 23:44:44.058  INFO [PensionerDetailService,,] 24220 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 15.0.2 on LTIN300273 with PID 24220 (C:\Users\893891\saibackend\PensionManagementSystem-master (1)\PensionManagementSystem-master\pensioner-detail-microservice\target\classes started by 893891 in C:\Users\893891\saibackend\PensionManagementSystem-master (1)\PensionManagementSystem-master\pensioner-detail-microservice)
2022-05-19 23:44:44.063  INFO [PensionerDetailService,,] 24220 --- [restartedMain] c.PensionerDetailMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 23:44:44.174  INFO [PensionerDetailService,,] 24220 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 23:44:44.174  INFO [PensionerDetailService,,] 24220 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 23:44:45.942  INFO [PensionerDetailService,,] 24220 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 23:44:46.044  INFO [PensionerDetailService,,] 24220 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 85 ms. Found 1 JPA repository interfaces.
2022-05-19 23:44:46.694  INFO [PensionerDetailService,,] 24220 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=85095809-9643-344a-ba36-0073e376c2c7
2022-05-19 23:44:48.524  INFO [PensionerDetailService,,] 24220 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9081 (http)
2022-05-19 23:44:48.551  INFO [PensionerDetailService,,] 24220 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 23:44:48.552  INFO [PensionerDetailService,,] 24220 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 23:44:48.773  INFO [PensionerDetailService,,] 24220 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 23:44:48.773  INFO [PensionerDetailService,,] 24220 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4598 ms
2022-05-19 23:44:48.925  INFO [PensionerDetailService,,] 24220 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 23:44:49.247  INFO [PensionerDetailService,,] 24220 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 23:44:49.257  INFO [PensionerDetailService,,] 24220 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-05-19 23:44:50.406  WARN [PensionerDetailService,,] 24220 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Connect timed out; nested exception is java.net.SocketTimeoutException: Connect timed out}]
2022-05-19 23:44:50.831  INFO [PensionerDetailService,,] 24220 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-19 23:44:50.918  INFO [PensionerDetailService,,] 24220 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-19 23:44:51.168  INFO [PensionerDetailService,,] 24220 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-19 23:44:51.438  INFO [PensionerDetailService,,] 24220 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-19 23:44:52.390  INFO [PensionerDetailService,,] 24220 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-19 23:44:52.409  INFO [PensionerDetailService,,] 24220 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-19 23:44:52.487  WARN [PensionerDetailService,,] 24220 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-05-19 23:44:53.033  INFO [PensionerDetailService,,] 24220 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : STARTED - savePensionerData
2022-05-19 23:44:53.249  INFO [PensionerDetailService,,] 24220 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : END - savePensionerData
2022-05-19 23:44:53.492  WARN [PensionerDetailService,,] 24220 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-19 23:44:55.805  INFO [PensionerDetailService,,] 24220 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9081 (http) with context path ''
2022-05-19 23:44:55.929  INFO [PensionerDetailService,,] 24220 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-19 23:44:55.968  INFO [PensionerDetailService,,] 24220 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-19 23:44:55.987  INFO [PensionerDetailService,,] 24220 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-19 23:44:56.252  INFO [PensionerDetailService,,] 24220 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Started PensionerDetailMicroserviceApplication in 12.98 seconds (JVM running for 14.022)
2022-05-19 23:45:44.098  INFO [PensionerDetailService,,] 24220 --- [http-nio-9081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-19 23:45:44.107  INFO [PensionerDetailService,,] 24220 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-19 23:45:44.110  INFO [PensionerDetailService,,] 24220 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2022-05-19 23:45:44.149  INFO [PensionerDetailService,65edefcf25acf37d,30d675e2afbc9a83] 24220 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 23:45:44.149  INFO [PensionerDetailService,65edefcf25acf37d,30d675e2afbc9a83] 24220 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 23:45:46.887  INFO [PensionerDetailService,58b91059066d759a,4b6c1d759159628c] 24220 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 23:45:46.888  INFO [PensionerDetailService,58b91059066d759a,4b6c1d759159628c] 24220 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 23:45:48.571  INFO [PensionerDetailService,904dcf749f8f5379,356ae493c216e37a] 24220 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 23:45:48.573  INFO [PensionerDetailService,904dcf749f8f5379,356ae493c216e37a] 24220 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 23:47:09.694  INFO [PensionerDetailService,42d2494ba22de554,b106611774ffa9bb] 24220 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 23:47:09.695  INFO [PensionerDetailService,42d2494ba22de554,b106611774ffa9bb] 24220 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 23:47:16.737  INFO [PensionerDetailService,a37fc95c85f317c4,09270ba113d98c18] 24220 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 23:47:16.739  INFO [PensionerDetailService,a37fc95c85f317c4,09270ba113d98c18] 24220 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 23:52:22.402  INFO [PensionerDetailService,,] 12848 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 15.0.2 on LTIN300273 with PID 12848 (C:\Users\893891\saibackend\PensionManagementSystem-master (1)\PensionManagementSystem-master\pensioner-detail-microservice\target\classes started by 893891 in C:\Users\893891\saibackend\PensionManagementSystem-master (1)\PensionManagementSystem-master\pensioner-detail-microservice)
2022-05-19 23:52:22.409  INFO [PensionerDetailService,,] 12848 --- [restartedMain] c.PensionerDetailMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 23:52:22.526  INFO [PensionerDetailService,,] 12848 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 23:52:22.526  INFO [PensionerDetailService,,] 12848 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 23:52:24.377  INFO [PensionerDetailService,,] 12848 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 23:52:24.475  INFO [PensionerDetailService,,] 12848 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 82 ms. Found 1 JPA repository interfaces.
2022-05-19 23:52:25.124  INFO [PensionerDetailService,,] 12848 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=85095809-9643-344a-ba36-0073e376c2c7
2022-05-19 23:52:26.651  INFO [PensionerDetailService,,] 12848 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9081 (http)
2022-05-19 23:52:26.672  INFO [PensionerDetailService,,] 12848 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 23:52:26.672  INFO [PensionerDetailService,,] 12848 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 23:52:26.944  INFO [PensionerDetailService,,] 12848 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 23:52:26.945  INFO [PensionerDetailService,,] 12848 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4418 ms
2022-05-19 23:52:27.076  INFO [PensionerDetailService,,] 12848 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 23:52:27.418  INFO [PensionerDetailService,,] 12848 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 23:52:27.431  INFO [PensionerDetailService,,] 12848 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-05-19 23:52:28.718  WARN [PensionerDetailService,,] 12848 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Connect timed out; nested exception is java.net.SocketTimeoutException: Connect timed out}]
2022-05-19 23:52:29.206  INFO [PensionerDetailService,,] 12848 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-19 23:52:29.293  INFO [PensionerDetailService,,] 12848 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-19 23:52:29.529  INFO [PensionerDetailService,,] 12848 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-19 23:52:29.796  INFO [PensionerDetailService,,] 12848 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-19 23:52:30.762  INFO [PensionerDetailService,,] 12848 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-19 23:52:30.775  INFO [PensionerDetailService,,] 12848 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-19 23:52:30.851  WARN [PensionerDetailService,,] 12848 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-05-19 23:52:31.399  INFO [PensionerDetailService,,] 12848 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : STARTED - savePensionerData
2022-05-19 23:52:31.592  INFO [PensionerDetailService,,] 12848 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : END - savePensionerData
2022-05-19 23:52:31.836  WARN [PensionerDetailService,,] 12848 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-19 23:52:34.193  INFO [PensionerDetailService,,] 12848 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9081 (http) with context path ''
2022-05-19 23:52:34.301  INFO [PensionerDetailService,,] 12848 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-19 23:52:34.331  INFO [PensionerDetailService,,] 12848 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-19 23:52:34.346  INFO [PensionerDetailService,,] 12848 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-19 23:52:34.591  INFO [PensionerDetailService,,] 12848 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Started PensionerDetailMicroserviceApplication in 13.136 seconds (JVM running for 14.376)
2022-05-19 23:54:07.919  INFO [PensionerDetailService,,] 12848 --- [http-nio-9081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-19 23:54:07.920  INFO [PensionerDetailService,,] 12848 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-19 23:54:07.923  INFO [PensionerDetailService,,] 12848 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2022-05-19 23:54:07.985  INFO [PensionerDetailService,fc5a80d13a021708,a8f1029800d08bde] 12848 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 23:54:07.985  INFO [PensionerDetailService,fc5a80d13a021708,a8f1029800d08bde] 12848 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 23:55:08.646  INFO [PensionerDetailService,7bd9670e4e3e3f4b,41045e89ce79d21d] 12848 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 23:55:08.726  INFO [PensionerDetailService,7bd9670e4e3e3f4b,41045e89ce79d21d] 12848 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 23:57:32.324  INFO [PensionerDetailService,08b5bc0cf102d9e9,49998d89e2693f3a] 12848 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 23:57:32.362  INFO [PensionerDetailService,08b5bc0cf102d9e9,49998d89e2693f3a] 12848 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 23:58:07.445  INFO [PensionerDetailService,d4b8f4b260969d1b,c6752c5901ac2cbe] 12848 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 23:58:07.465  INFO [PensionerDetailService,d4b8f4b260969d1b,c6752c5901ac2cbe] 12848 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 23:58:16.571  INFO [PensionerDetailService,77d3a03f5b4f889b,5681ed79dfccfab5] 12848 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 23:58:16.586  INFO [PensionerDetailService,77d3a03f5b4f889b,5681ed79dfccfab5] 12848 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
